source,display_name,count,triangles_per_instance,total_triangles,total_vertices,lod,shadows,notes
"Instanced","Fristy_Tree_03_01 / Tree_3_1_LOD1 / 2_Tree_Leaves",392,1728,677376,878080,"LOD1","Off","Generated instanced LOD"
"Instanced","Fristy_Tree_03_02 / Tree_3_2_LOD1 / 2_Tree_Leaves",420,1576,661920,907200,"LOD1","Off","Generated instanced LOD"
"Instanced","Fristy_Tree_03_03 / Tree_3_3_LOD0 / 2_Tree_Leaves",70,8025,561750,816200,"LOD0","On","Generated instanced LOD"
"Instanced","Fristy_Tree_Prefab_04 / Tree_3_4_LOD1 / 2_Tree_Leaves",367,1121,411407,526278,"LOD1","Off","Generated instanced LOD"
"Instanced","Fristy_Tree_03_03 / Tree_3_3_LOD0 / Tree_3_Group",70,4987,349090,816200,"LOD0","On","Generated instanced LOD"
"Instanced","Fristy_Tree_03_02 / Tree_3_2_LOD0 / Tree_3_Group",64,4748,303872,477888,"LOD0","On","Generated instanced LOD"
"Instanced","Fristy_Tree_03_02 / Tree_3_2_LOD0 / 2_Tree_Leaves",64,4300,275200,477888,"LOD0","On","Generated instanced LOD"
"Instanced","Fristy_Tree_03_01 / Tree_3_1_LOD0 / Tree_3_Group",73,3716,271268,394638,"LOD0","On","Generated instanced LOD"
"Instanced","Fristy_Tree_03_01 / Tree_3_1_LOD0 / 2_Tree_Leaves",73,2900,211700,394638,"LOD0","On","Generated instanced LOD"
"Instanced","Fristy_Tree_Prefab_04 / Tree_3_4_LOD0 / Tree_3_Group",54,2412,130248,159408,"LOD0","On","Generated instanced LOD"
"Instanced","Fristy_Tree_03_01 / Tree_3_1_LOD1 / Tree_3_Group",392,259,101528,878080,"LOD1","On","Generated instanced LOD"
"Instanced","Fristy_Tree_03_02 / Tree_3_2_LOD1 / Tree_3_Group",420,215,90300,907200,"LOD1","On","Generated instanced LOD"
"Instanced","Fristy_Tree_Prefab_04 / Tree_3_4_LOD1 / Tree_3_Group",367,201,73767,526278,"LOD1","On","Generated instanced LOD"
"Instanced","Fristy_Tree_Prefab_04 / Tree_3_4_LOD0 / 2_Tree_Leaves",54,1350,72900,159408,"LOD0","On","Generated instanced LOD"
"Instanced","Fristy_Rock_02 / 2_Rock / Fristy_Rock_02",30,1198,35940,23850,"none","On","Generated instanced"
"Instanced","Fristy_Bush_Vegetation_02 / 1_Grass  / 1_Grass_",800,16,12800,19200,"none","On","Generated instanced"
"Instanced","Fristy_Bush_Vegetation_02 / Weed 1.001 / 2_Tree_Leaves",240,50,12000,12960,"none","On","Generated instanced"
"Instanced","Fristy_Plant_01 / Plant_1 / Fristy_Plant_Stylized_Art_03",20,204,4080,4480,"none","On","Generated instanced"
"Instanced","Fristy_Tree_03_03 / Tree_3_3_LOD1 / Billboard",1009,4,4036,8072,"LOD1","Off","Generated instanced LOD"
"Instanced","Fristy_Rock_04 / 4_Rock / Fristy_Rock_04",14,276,3864,2464,"none","On","Generated instanced"
"Instanced","Fristy_Tree_03_01 / Tree_3_1_LOD2 / Billboard",594,4,2376,4752,"LOD2","Off","Generated instanced LOD"
"Instanced","Fristy_Tree_Prefab_04 / Tree_3_4_LOD2 / Billboard",582,4,2328,4656,"LOD2","Off","Generated instanced LOD"
"Instanced","Fristy_Tree_03_02 / Tree_3_2_LOD2 / Billboard",582,4,2328,4656,"LOD2","Off","Generated instanced LOD"
"Renderer","Plane",1,200,200,121,"none","On","No LODGroup"
